id,formula,sources
EVODEX-F111,"{'O': -7, 'C': -10, 'P': -1, 'N': -4, 'H': -11}",EVODEX-P193
EVODEX-F112,"{'N': 4, 'O': 7, 'C': 10, 'P': 1, 'H': 11}",EVODEX-P195
EVODEX-F113,"{'O': -2, 'S': -1, 'C': -4, 'N': -1, 'H': -9}","EVODEX-P201,EVODEX-P1536"
EVODEX-F114,"{'S': -1, 'O': -1, 'C': -4, 'N': -1, 'H': -7}",EVODEX-P203
EVODEX-F115,"{'O': 2, 'C': 6, 'P': -1, 'H': 9}","EVODEX-P208,EVODEX-P1361,EVODEX-P1620"
EVODEX-F116,"{'O': 9, 'C': 6, 'P': 1, 'H': 13}","EVODEX-P209,EVODEX-P750,EVODEX-P786,EVODEX-P1097,EVODEX-P1362,EVODEX-P1621"
EVODEX-F117,{'H': 3},EVODEX-P210
EVODEX-F118,"{'O': -4, 'C': -6, 'H': -9}",EVODEX-P211
EVODEX-F119,"{'S': -1, 'O': -16, 'C': -21, 'P': -3, 'N': -7, 'H': -33}",EVODEX-P212
EVODEX-F120,"{'S': -1, 'O': -16, 'C': -21, 'P': -3, 'N': -7, 'H': -32}",EVODEX-P213
EVODEX-F121,{'H': 4},"EVODEX-P214,EVODEX-P1794"
EVODEX-F122,"{'O': -4, 'C': -6, 'H': -8}",EVODEX-P215
EVODEX-F123,"{'O': -6, 'C': -20, 'N': -7, 'H': -21}",EVODEX-P218
EVODEX-F124,"{'O': -7, 'C': -5, 'P': -1, 'H': -9}","EVODEX-P224,EVODEX-P234,EVODEX-P1003,EVODEX-P1464"
EVODEX-F125,"{'O': 7, 'C': 5, 'P': 1, 'H': 9}","EVODEX-P226,EVODEX-P236,EVODEX-P366,EVODEX-P1052"
EVODEX-F126,"{'N': 4, 'O': -6, 'C': 5, 'P': -2}",EVODEX-P227
EVODEX-F127,"{'N': 4, 'O': 1, 'C': 5, 'H': 4}",EVODEX-P228
EVODEX-F128,"{'O': -3, 'C': -3, 'H': -6}","EVODEX-P230,EVODEX-P379,EVODEX-P996"
EVODEX-F129,"{'O': -6, 'C': -3, 'P': -1, 'H': -7}","EVODEX-P232,EVODEX-P317,EVODEX-P319,EVODEX-P998"
EVODEX-F130,"{'N': -1, 'O': -2, 'C': -7, 'H': -7}",EVODEX-P235
EVODEX-F131,"{'N': -1, 'O': 5, 'C': -7, 'P': 2, 'H': -3}",EVODEX-P237
EVODEX-F132,"{'O': 7, 'P': 2, 'H': 4}","EVODEX-P238,EVODEX-P722,EVODEX-P746,EVODEX-P1256,EVODEX-P1465,EVODEX-P1685"
EVODEX-F133,"{'N': -5, 'O': -10, 'C': -10, 'P': -2, 'H': -15}","EVODEX-P240,EVODEX-P262,EVODEX-P292,EVODEX-P465,EVODEX-P580,EVODEX-P585,EVODEX-P617,EVODEX-P688,EVODEX-P748,EVODEX-P1023,EVODEX-P1070,EVODEX-P1095,EVODEX-P1107,EVODEX-P1183,EVODEX-P1200,EVODEX-P1269,EVODEX-P1339,EVODEX-P1448,EVODEX-P1555,EVODEX-P1560,EVODEX-P1568,EVODEX-P1677,EVODEX-P1771,EVODEX-P1825"
EVODEX-F134,"{'O': -2, 'P': -1, 'H': -1}",EVODEX-P242
EVODEX-F135,"{'N': 5, 'O': 8, 'C': 10, 'P': 1, 'H': 14}","EVODEX-P243,EVODEX-P1044"
EVODEX-F136,"{'N': 5, 'O': 1, 'C': 4, 'P': 1, 'H': 2}",EVODEX-P256
EVODEX-F137,"{'O': 3, 'C': 4, 'H': 4}","EVODEX-P261,EVODEX-P508,EVODEX-P1151,EVODEX-P1894"
EVODEX-F138,"{'O': 6, 'C': 6, 'P': 2, 'N': 5, 'H': 9}",EVODEX-P263
EVODEX-F139,"{'O': 4, 'C': 4, 'H': 6}","EVODEX-P265,EVODEX-P822"
EVODEX-F140,"{'C': 4, 'P': -1, 'H': 3}","EVODEX-P266,EVODEX-P823"
EVODEX-F141,"{'N': 7, 'S': 1, 'O': 16, 'C': 21, 'P': 3, 'H': 36}","EVODEX-P267,EVODEX-P710,EVODEX-P824"
EVODEX-F142,"{'O': -6, 'C': -6, 'P': -2, 'N': -5, 'H': -9}",EVODEX-P268
EVODEX-F143,"{'N': 7, 'S': 1, 'O': 12, 'C': 21, 'P': 2, 'H': 33}","EVODEX-P269,EVODEX-P826"
EVODEX-F144,"{'N': 2, 'S': 1, 'O': 6, 'C': 11, 'P': 1, 'H': 21}",EVODEX-P270
EVODEX-F145,"{'O': -3, 'C': -4, 'H': -4}","EVODEX-P271,EVODEX-P506,EVODEX-P828,EVODEX-P1148,EVODEX-P1192"
EVODEX-F146,"{'N': 7, 'S': 1, 'O': 15, 'C': 21, 'P': 3, 'H': 34}","EVODEX-P272,EVODEX-P712"
EVODEX-F147,"{'O': -7, 'C': -4, 'P': -1, 'H': -7}","EVODEX-P273,EVODEX-P829"
EVODEX-F148,"{'N': 12, 'S': 1, 'O': 25, 'C': 31, 'P': 5, 'H': 49}",EVODEX-P274
EVODEX-F149,"{'O': 6, 'C': 3, 'P': 1, 'H': 5}","EVODEX-P276,EVODEX-P420,EVODEX-P1168,EVODEX-P1459"
EVODEX-F150,"{'O': 2, 'C': 8, 'H': 8}","EVODEX-P279,EVODEX-P1614"
EVODEX-F151,"{'O': 2, 'C': 1}","EVODEX-P280,EVODEX-P1069,EVODEX-P1205,EVODEX-P1458"
EVODEX-F152,"{'O': -7, 'C': -22, 'N': -5, 'H': -39}",EVODEX-P282
EVODEX-F153,"{'O': -2, 'C': -10, 'N': -1, 'H': -9}","EVODEX-P283,EVODEX-P852,EVODEX-P888"
EVODEX-F154,"{'O': 7, 'C': 22, 'N': 5, 'H': 39}",EVODEX-P284
EVODEX-F155,"{'O': -1, 'C': -10, 'N': -1, 'H': -7}","EVODEX-P285,EVODEX-P854,EVODEX-P890"
EVODEX-F156,"{'O': -3, 'C': -3, 'H': -4}","EVODEX-P287,EVODEX-P421,EVODEX-P664,EVODEX-P915"
EVODEX-F157,"{'N': -5, 'O': -8, 'C': -8, 'P': -2, 'H': -11}",EVODEX-P293
EVODEX-F158,"{'O': 2, 'C': 2, 'H': 4}","EVODEX-P295,EVODEX-P493,EVODEX-P896"
EVODEX-F159,"{'O': 2, 'C': 3, 'H': 4}",EVODEX-P297
EVODEX-F160,"{'S': 2, 'O': 10, 'C': 27, 'N': 9, 'H': 49}",EVODEX-P298
EVODEX-F161,"{'O': 1, 'C': 2, 'H': 4}","EVODEX-P303,EVODEX-P396"
EVODEX-F162,"{'N': 1, 'O': 2, 'C': 2, 'H': 5}","EVODEX-P304,EVODEX-P411,EVODEX-P624"
EVODEX-F163,"{'O': -1, 'C': -1, 'H': -1}","EVODEX-P306,EVODEX-P377,EVODEX-P378,EVODEX-P646,EVODEX-P647,EVODEX-P649,EVODEX-P993,EVODEX-P1240,EVODEX-P1427,EVODEX-P1550,EVODEX-P1581,EVODEX-P1647,EVODEX-P1768"
EVODEX-F164,"{'O': 1, 'C': 2, 'H': 2}","EVODEX-P308,EVODEX-P491,EVODEX-P651,EVODEX-P834,EVODEX-P997,EVODEX-P1122,EVODEX-P1125,EVODEX-P1551"
EVODEX-F165,"{'S': -1, 'O': -11, 'C': 2, 'P': -3, 'N': -5, 'H': -6}",EVODEX-P309
EVODEX-F166,"{'O': 5, 'C': 23, 'N': 2, 'H': 30}",EVODEX-P310
EVODEX-F167,"{'N': -3, 'O': -11, 'C': -9, 'P': -2, 'H': -15}","EVODEX-P313,EVODEX-P670,EVODEX-P1544,EVODEX-P1879"
EVODEX-F168,"{'N': -2, 'O': -6, 'P': -2, 'H': 2}",EVODEX-P314
EVODEX-F169,"{'N': 1, 'O': 5, 'C': 9, 'H': 17}",EVODEX-P316
EVODEX-F170,"{'S': 1, 'C': 5, 'N': 4, 'H': 2}",EVODEX-P324
EVODEX-F171,"{'S': -1, 'C': -5, 'N': -4, 'H': -2}",EVODEX-P326
EVODEX-F172,"{'O': -2, 'C': -4, 'N': -1, 'H': -3}",EVODEX-P331
EVODEX-F173,"{'N': 1, 'O': 2, 'C': 11, 'P': -1, 'H': 11}",EVODEX-P338
EVODEX-F174,"{'N': 1, 'O': 9, 'C': 11, 'P': 1, 'H': 15}",EVODEX-P339
EVODEX-F175,"{'O': -4, 'C': -5, 'H': -4}","EVODEX-P340,EVODEX-P875"
EVODEX-F176,"{'O': 4, 'C': 5, 'H': 5}","EVODEX-P343,EVODEX-P1508,EVODEX-P1709"
EVODEX-F177,"{'O': 4, 'C': 5, 'H': 6}","EVODEX-P344,EVODEX-P876,EVODEX-P1713"
EVODEX-F178,"{'N': 1, 'H': 4}","EVODEX-P346,EVODEX-P1180"
EVODEX-F179,"{'O': -1, 'N': 1, 'H': 3}","EVODEX-P347,EVODEX-P389,EVODEX-P561,EVODEX-P1172,EVODEX-P1314,EVODEX-P1479"
EVODEX-F180,"{'N': 1, 'O': -1, 'H': 2}","EVODEX-P348,EVODEX-P1171"
EVODEX-F181,"{'N': 1, 'H': 5}","EVODEX-P349,EVODEX-P1175"
EVODEX-F182,"{'O': -4, 'C': -5, 'H': -5}","EVODEX-P351,EVODEX-P1501"
EVODEX-F183,"{'O': 9, 'C': 6, 'P': 1, 'H': 11}",EVODEX-P362
EVODEX-F184,"{'N': 2, 'O': -5, 'C': 4, 'P': -2}",EVODEX-P367
EVODEX-F185,"{'N': 2, 'O': 2, 'C': 4, 'H': 4}",EVODEX-P368
EVODEX-F186,"{'O': -2, 'C': -3, 'H': -4}","EVODEX-P372,EVODEX-P955,EVODEX-P964,EVODEX-P994"
EVODEX-F187,"{'O': -3, 'C': -3, 'H': -5}",EVODEX-P380
EVODEX-F188,"{'C': 3, 'N': 1, 'H': 9}",EVODEX-P384
EVODEX-F189,"{'O': -4, 'C': -4, 'N': -1, 'H': -7}","EVODEX-P386,EVODEX-P563"
EVODEX-F190,"{'O': -1, 'C': -3, 'H': -6}",EVODEX-P387
EVODEX-F191,"{'O': -2, 'C': -3, 'N': -1, 'H': -7}",EVODEX-P388
EVODEX-F192,"{'C': -3, 'N': -1, 'H': -9}",EVODEX-P391
EVODEX-F193,"{'O': 3, 'C': 3, 'H': 4}","EVODEX-P392,EVODEX-P423,EVODEX-P1075,EVODEX-P1460,EVODEX-P1774"
EVODEX-F194,"{'O': 2, 'H': -2}",EVODEX-P393
EVODEX-F195,"{'O': -1, 'C': -2, 'N': -1, 'H': -3}","EVODEX-P394,EVODEX-P627,EVODEX-P900,EVODEX-P1218"
EVODEX-F196,"{'O': -3, 'C': -4, 'H': -6}","EVODEX-P397,EVODEX-P775"
EVODEX-F197,"{'O': -2, 'C': -8, 'H': -8}","EVODEX-P398,EVODEX-P1611"
EVODEX-F198,"{'N': -2, 'O': -11, 'C': -10, 'P': -2, 'H': -16}","EVODEX-P403,EVODEX-P783,EVODEX-P1852"
EVODEX-F199,"{'N': 3, 'O': -8, 'P': -2, 'H': -3}",EVODEX-P405
EVODEX-F200,"{'N': 5, 'O': 3, 'C': 10, 'H': 13}",EVODEX-P407
EVODEX-F201,"{'O': 1, 'C': 7, 'H': 6}",EVODEX-P412
EVODEX-F202,"{'O': 5, 'C': 5, 'H': 10}",EVODEX-P414
EVODEX-F203,"{'O': 9, 'C': 5, 'P': 1, 'H': 13}",EVODEX-P415
EVODEX-F204,"{'O': 8, 'C': 5, 'P': 1, 'H': 11}","EVODEX-P417,EVODEX-P583"
EVODEX-F205,"{'O': -2, 'C': -3, 'H': -2}","EVODEX-P422,EVODEX-P666"
EVODEX-F206,"{'O': -12, 'C': -9, 'P': -2, 'N': -2, 'H': -14}","EVODEX-P426,EVODEX-P725,EVODEX-P1084,EVODEX-P1225,EVODEX-P1287,EVODEX-P1308,EVODEX-P1364,EVODEX-P1659,EVODEX-P1731,EVODEX-P1753"
EVODEX-F207,"{'O': -6, 'C': -3, 'P': -2, 'N': -2, 'H': -2}",EVODEX-P428
EVODEX-F208,"{'O': 6, 'C': 6, 'H': 12}","EVODEX-P429,EVODEX-P673,EVODEX-P1110,EVODEX-P1223"
EVODEX-F209,"{'O': -4, 'P': -1, 'H': -2}","EVODEX-P431,EVODEX-P433,EVODEX-P1652,EVODEX-P1654"
EVODEX-F210,"{'O': -6, 'C': -3, 'P': -1, 'H': -6}",EVODEX-P434
EVODEX-F211,"{'O': 6, 'C': 18, 'N': 4, 'H': 26}",EVODEX-P442
EVODEX-F212,"{'O': 6, 'C': 18, 'N': 4, 'H': 24}",EVODEX-P444
EVODEX-F213,"{'O': 5, 'C': 18, 'N': 4, 'H': 22}",EVODEX-P445
EVODEX-F214,"{'O': 5, 'C': 18, 'N': 4, 'H': 24}",EVODEX-P447
EVODEX-F215,"{'O': 1, 'C': 4, 'N': 5, 'H': 1}",EVODEX-P452
EVODEX-F216,"{'O': -1, 'C': -4, 'N': -5, 'H': -1}",EVODEX-P454
EVODEX-F217,"{'N': -2, 'O': -5, 'C': -11, 'H': -16}",EVODEX-P466
EVODEX-F218,"{'N': -7, 'O': -14, 'C': -21, 'P': -2, 'H': -29}",EVODEX-P467
EVODEX-F219,"{'N': -7, 'O': -18, 'C': -21, 'P': -3, 'H': -32}",EVODEX-P468
EVODEX-F220,"{'O': -4, 'C': -9, 'H': -10}",EVODEX-P471
EVODEX-F221,"{'O': 3, 'C': 3, 'H': 6}",EVODEX-P474
EVODEX-F222,"{'O': 2, 'C': 1, 'H': 2}","EVODEX-P476,EVODEX-P656,EVODEX-P1574"
EVODEX-F223,"{'O': 2, 'C': 1, 'H': 1}","EVODEX-P477,EVODEX-P659"
EVODEX-F224,"{'O': 3, 'C': 3, 'H': 5}",EVODEX-P478
EVODEX-F225,"{'N': 5, 'O': 16, 'C': 16, 'P': 2, 'H': 22}",EVODEX-P482
EVODEX-F226,{'H': -4},EVODEX-P484
EVODEX-F227,"{'O': 16, 'C': 16, 'P': 2, 'N': 5, 'H': 21}",EVODEX-P487
EVODEX-F228,"{'O': -3, 'C': -1}","EVODEX-P489,EVODEX-P770"
EVODEX-F229,"{'O': 3, 'C': 2}",EVODEX-P492
EVODEX-F230,"{'O': -2, 'C': -4, 'N': -1, 'H': -8}",EVODEX-P494
EVODEX-F231,"{'S': -1, 'O': -3, 'C': -11, 'N': -5, 'H': -16}",EVODEX-P495
EVODEX-F232,"{'O': -14, 'C': -17, 'N': -1, 'H': -27}",EVODEX-P500
EVODEX-F233,"{'O': -3, 'C': -6, 'N': -1, 'H': -5}","EVODEX-P501,EVODEX-P910,EVODEX-P984,EVODEX-P1018,EVODEX-P1648,EVODEX-P1785"
EVODEX-F234,"{'O': 14, 'C': 17, 'N': 1, 'H': 27}",EVODEX-P502
EVODEX-F235,"{'S': -1, 'O': -15, 'C': -21, 'P': -3, 'N': -7, 'H': -34}","EVODEX-P509,EVODEX-P1138"
EVODEX-F236,"{'O': 11, 'C': 12, 'H': 22}","EVODEX-P516,EVODEX-P885,EVODEX-P1755,EVODEX-P1908"
EVODEX-F237,"{'O': -3, 'C': -24, 'H': -38}",EVODEX-P518
EVODEX-F238,"{'O': -3, 'S': -1, 'C': -2, 'N': -1, 'H': -7}",EVODEX-P519
EVODEX-F239,"{'O': 3, 'C': 24, 'H': 38}",EVODEX-P520
EVODEX-F240,"{'O': -2, 'S': -1, 'C': -2, 'N': -1, 'H': -5}",EVODEX-P521
EVODEX-F241,"{'O': -10, 'C': -10, 'P': -2, 'N': -5, 'H': -13}","EVODEX-P528,EVODEX-P544,EVODEX-P1146"
EVODEX-F242,"{'O': 10, 'C': 10, 'P': 2, 'N': 5, 'H': 13}","EVODEX-P530,EVODEX-P538,EVODEX-P821"
EVODEX-F243,"{'N': -4, 'O': -7, 'C': -5, 'P': -2, 'H': -6}",EVODEX-P535
EVODEX-F244,"{'N': -1, 'O': -4, 'C': -5, 'H': -9}","EVODEX-P536,EVODEX-P1302,EVODEX-P1702,EVODEX-P1807"
EVODEX-F245,"{'N': 1, 'O': 7, 'C': 5, 'P': 1, 'H': 10}",EVODEX-P537
EVODEX-F246,"{'O': 3, 'C': 5, 'N': 1, 'H': 7}","EVODEX-P539,EVODEX-P1839"
EVODEX-F247,"{'N': -6, 'O': -10, 'C': -10, 'P': -2, 'H': -16}",EVODEX-P540
EVODEX-F248,"{'N': -1, 'O': 4, 'P': 1}",EVODEX-P542
EVODEX-F249,"{'O': 11, 'C': 10, 'P': 2, 'N': 5, 'H': 15}","EVODEX-P543,EVODEX-P1137"
EVODEX-F250,"{'N': 4, 'O': 11, 'C': 10, 'P': 2, 'H': 12}",EVODEX-P545
EVODEX-F251,"{'N': -1, 'C': -5, 'P': 1, 'H': -6}","EVODEX-P548,EVODEX-P1819"
EVODEX-F252,"{'N': 4, 'O': 7, 'C': 5, 'P': 2, 'H': 6}",EVODEX-P550
EVODEX-F253,"{'N': -1, 'O': -3, 'C': -5, 'H': -7}","EVODEX-P551,EVODEX-P1822,EVODEX-P1835"
EVODEX-F254,"{'O': -5, 'C': -5, 'H': -10}","EVODEX-P554,EVODEX-P1801"
EVODEX-F255,"{'O': -4, 'C': -5, 'H': -8}","EVODEX-P556,EVODEX-P1283,EVODEX-P1286,EVODEX-P1534,EVODEX-P1803"
EVODEX-F256,"{'O': -5, 'C': -5, 'H': -6}","EVODEX-P560,EVODEX-P1313"
EVODEX-F257,"{'N': 1, 'O': 4, 'C': 5, 'H': 9}","EVODEX-P566,EVODEX-P1318,EVODEX-P1826"
EVODEX-F258,"{'O': 5, 'C': 4, 'H': 4}",EVODEX-P567
EVODEX-F259,"{'N': 2, 'O': 2, 'C': 11, 'H': 12}","EVODEX-P575,EVODEX-P1848"
EVODEX-F260,{'O': 2},"EVODEX-P576,EVODEX-P767,EVODEX-P1615"
EVODEX-F261,"{'N': -5, 'O': -2, 'C': -5, 'P': -1, 'H': -4}",EVODEX-P582
EVODEX-F262,"{'N': -2, 'O': -7, 'C': -1, 'P': -2, 'H': -2}",EVODEX-P587
EVODEX-F263,"{'N': 3, 'O': 3, 'C': 9, 'H': 13}",EVODEX-P588
EVODEX-F264,"{'N': -4, 'O': -8, 'C': -9, 'P': -1, 'H': -15}",EVODEX-P591
EVODEX-F265,"{'O': 1, 'C': 1}","EVODEX-P592,EVODEX-P696,EVODEX-P861,EVODEX-P1374"
EVODEX-F266,"{'N': 3, 'O': -2, 'C': 10, 'P': -1, 'H': 8}",EVODEX-P593
EVODEX-F267,"{'N': 7, 'O': 6, 'C': 19, 'H': 23}","EVODEX-P594,EVODEX-P1567"
EVODEX-F268,"{'O': -1, 'C': -5, 'N': -1, 'H': -7}","EVODEX-P596,EVODEX-P1494"
EVODEX-F269,"{'O': -3, 'C': -10, 'N': -1, 'H': -13}",EVODEX-P597
EVODEX-F270,"{'O': 1, 'C': 5, 'N': 1, 'H': 7}",EVODEX-P598
EVODEX-F271,"{'O': 1, 'C': 7, 'H': 8}","EVODEX-P600,EVODEX-P1662"
EVODEX-F272,"{'O': -2, 'C': -6, 'N': -2, 'H': -6}","EVODEX-P602,EVODEX-P969,EVODEX-P1436,EVODEX-P1635"
EVODEX-F273,"{'O': 5, 'C': 16, 'N': 6, 'H': 26}",EVODEX-P603
EVODEX-F274,"{'O': -1, 'C': -6, 'N': -2, 'H': -4}","EVODEX-P604,EVODEX-P971,EVODEX-P1437,EVODEX-P1637"
EVODEX-F275,"{'O': -5, 'C': -16, 'N': -6, 'H': -26}",EVODEX-P605
EVODEX-F276,"{'O': -11, 'C': -29, 'N': -8, 'H': -44}",EVODEX-P608
EVODEX-F277,"{'O': 11, 'C': 29, 'N': 8, 'H': 44}",EVODEX-P610
EVODEX-F278,"{'O': -15, 'C': -5, 'P': -3, 'N': -7, 'H': -4}",EVODEX-P611
EVODEX-F279,"{'S': 1, 'O': 1, 'C': 16, 'H': 32}",EVODEX-P612
EVODEX-F280,"{'O': 6, 'C': 5, 'P': 1, 'N': 1, 'H': 10}",EVODEX-P616
EVODEX-F281,"{'O': 2, 'C': -2, 'P': 1, 'N': -1, 'H': -2}",EVODEX-P618
EVODEX-F282,"{'O': 10, 'C': 5, 'P': 2, 'N': 1, 'H': 13}",EVODEX-P620
EVODEX-F283,"{'N': 1, 'O': 7, 'C': 5, 'P': 1, 'H': 12}",EVODEX-P621
EVODEX-F284,"{'O': -11, 'C': -12, 'P': -2, 'N': -6, 'H': -18}",EVODEX-P622
EVODEX-F285,"{'N': 1, 'O': 3, 'C': 5, 'H': 9}",EVODEX-P623
EVODEX-F286,"{'N': -4, 'O': -3, 'C': -5, 'P': -1, 'H': -3}",EVODEX-P625
EVODEX-F287,"{'N': 1, 'O': -2, 'C': 2, 'P': -1, 'H': 2}",EVODEX-P626
EVODEX-F288,"{'N': -4, 'O': -8, 'C': -8, 'P': -2, 'H': -10}",EVODEX-P628
EVODEX-F289,"{'O': 1, 'C': 2, 'N': 1, 'H': 3}","EVODEX-P629,EVODEX-P902"
EVODEX-F290,"{'O': 1, 'C': 16, 'H': 31}",EVODEX-P632
EVODEX-F291,"{'N': 7, 'S': 1, 'O': 16, 'C': 21, 'P': 3, 'H': 34}",EVODEX-P634
EVODEX-F292,"{'N': 7, 'S': 1, 'O': 16, 'C': 21, 'P': 3, 'H': 35}",EVODEX-P635
EVODEX-F293,"{'C': -1, 'H': -3}",EVODEX-P636
EVODEX-F294,"{'O': 3, 'C': 7, 'H': 5}",EVODEX-P638
EVODEX-F295,"{'S': -1, 'O': -5, 'C': -14, 'N': -6, 'H': -21}","EVODEX-P639,EVODEX-P930,EVODEX-P1248"
EVODEX-F296,"{'O': -2, 'S': -1, 'C': -7, 'N': -6, 'H': -15}",EVODEX-P640
EVODEX-F297,"{'N': -1, 'O': -3, 'C': -9, 'H': -12}","EVODEX-P644,EVODEX-P1426"
EVODEX-F298,"{'O': -3, 'C': -9, 'N': -1, 'H': -13}",EVODEX-P645
EVODEX-F299,"{'O': 8, 'C': 5, 'P': 1, 'H': 13}",EVODEX-P657
EVODEX-F300,"{'O': 8, 'C': 5, 'P': 1, 'H': 12}",EVODEX-P661
EVODEX-F301,"{'O': -1, 'C': -5, 'H': -8}",EVODEX-P663
EVODEX-F302,"{'O': 1, 'C': 5, 'H': 8}",EVODEX-P665
EVODEX-F303,"{'O': -5, 'C': -3, 'P': -2, 'N': -3, 'H': -3}",EVODEX-P672
EVODEX-F304,"{'O': -8, 'C': -10, 'P': -2, 'N': -5, 'H': -13}",EVODEX-P677
EVODEX-F305,"{'O': 8, 'C': 10, 'P': 2, 'N': 5, 'H': 13}",EVODEX-P679
EVODEX-F306,"{'N': 2, 'O': 1, 'C': 11, 'P': -1, 'H': 12}",EVODEX-P684
EVODEX-F307,"{'N': 2, 'O': 8, 'C': 11, 'P': 1, 'H': 16}",EVODEX-P686
EVODEX-F308,"{'N': -1, 'O': -8, 'C': -4, 'P': -2, 'H': -1}",EVODEX-P690
EVODEX-F309,"{'N': 4, 'O': 2, 'C': 6, 'H': 14}",EVODEX-P691
EVODEX-F310,"{'N': -7, 'O': -6, 'C': -19, 'H': -23}",EVODEX-P695
EVODEX-F311,"{'O': 2, 'C': -12, 'P': 1, 'N': -5, 'H': -8}",EVODEX-P697
EVODEX-F312,"{'O': 8, 'C': 7, 'P': 1, 'N': 2, 'H': 15}",EVODEX-P699
EVODEX-F313,"{'N': 5, 'O': 3, 'C': -17, 'P': 1, 'H': -32}",EVODEX-P702
EVODEX-F314,"{'O': 4, 'C': 27, 'H': 46}",EVODEX-P703
EVODEX-F315,"{'O': 3, 'C': 27, 'H': 44}",EVODEX-P704
EVODEX-F316,"{'O': -3, 'C': 27, 'P': -2, 'H': 42}",EVODEX-P706
EVODEX-F317,"{'O': -3, 'C': 17, 'P': -1, 'N': -5, 'H': 32}",EVODEX-P707
EVODEX-F318,"{'N': 7, 'S': 1, 'O': 9, 'C': 21, 'P': 1, 'H': 32}",EVODEX-P711
EVODEX-F319,"{'N': 2, 'S': 1, 'O': 9, 'C': 11, 'P': 2, 'H': 22}",EVODEX-P713
EVODEX-F320,"{'O': -3, 'C': -27, 'H': -44}",EVODEX-P714
EVODEX-F321,"{'N': 12, 'S': 1, 'O': 22, 'C': 31, 'P': 4, 'H': 48}",EVODEX-P715
EVODEX-F322,"{'O': -10, 'C': -27, 'P': -2, 'H': -48}",EVODEX-P716
EVODEX-F323,"{'C': -5, 'H': -8}",EVODEX-P718
EVODEX-F324,"{'N': -2, 'O': -2, 'C': -11, 'H': -12}",EVODEX-P719
EVODEX-F325,"{'C': 5, 'H': 8}",EVODEX-P720
EVODEX-F326,"{'O': 5, 'C': -11, 'P': 2, 'N': -2, 'H': -8}",EVODEX-P721
EVODEX-F327,"{'O': -6, 'C': -6, 'H': -8}","EVODEX-P724,EVODEX-P1154"
EVODEX-F328,"{'O': -10, 'N': -2, 'C': 11, 'P': -2, 'H': 10}",EVODEX-P726
EVODEX-F329,"{'O': 6, 'C': 6, 'H': 8}","EVODEX-P727,EVODEX-P1156,EVODEX-P1226"
EVODEX-F330,"{'O': 2, 'C': 20, 'H': 24}",EVODEX-P728
EVODEX-F331,"{'N': 5, 'O': 9, 'C': 10, 'P': 2, 'H': 15}",EVODEX-P740
EVODEX-F332,"{'O': -7, 'C': -5, 'P': -1, 'H': -13}",EVODEX-P742
EVODEX-F333,"{'N': 3, 'O': 7, 'C': 9, 'P': 1, 'H': 12}","EVODEX-P743,EVODEX-P848,EVODEX-P1695"
EVODEX-F334,"{'C': -5, 'P': 1, 'H': -9}",EVODEX-P744
EVODEX-F335,"{'O': -7, 'C': -9, 'P': -1, 'N': -3, 'H': -12}","EVODEX-P745,EVODEX-P840,EVODEX-P845"
EVODEX-F336,"{'N': -5, 'O': -1, 'C': -4, 'P': -1, 'H': -2}","EVODEX-P749,EVODEX-P1096,EVODEX-P1222"
EVODEX-F337,"{'O': 2, 'C': 3, 'N': 2, 'H': 4}",EVODEX-P754
EVODEX-F338,"{'O': 8, 'C': 19, 'H': 18}",EVODEX-P762
EVODEX-F339,"{'O': -4, 'C': -4, 'H': -6}","EVODEX-P763,EVODEX-P1140"
EVODEX-F340,"{'O': 4, 'C': 15, 'H': 12}",EVODEX-P765
EVODEX-F341,"{'O': 3, 'C': 4, 'H': 6}",EVODEX-P766
EVODEX-F342,"{'O': -1, 'C': -4, 'H': -6}","EVODEX-P768,EVODEX-P1028"
EVODEX-F343,"{'O': 5, 'C': 15, 'H': 12}",EVODEX-P769
EVODEX-F344,"{'O': 1, 'C': 11, 'H': 6}",EVODEX-P771
EVODEX-F345,{'C': -1},"EVODEX-P774,EVODEX-P1613"
EVODEX-F346,"{'O': 3, 'C': 14, 'H': 12}",EVODEX-P777
EVODEX-F347,"{'O': 2, 'C': 4, 'H': 6}",EVODEX-P780
EVODEX-F348,"{'N': -2, 'O': -2, 'C': -4, 'P': -1, 'H': -3}",EVODEX-P785
EVODEX-F349,"{'O': -4, 'C': -10, 'N': -5, 'H': -11}","EVODEX-P788,EVODEX-P1128"
EVODEX-F350,"{'O': 4, 'C': 10, 'N': 5, 'H': 11}","EVODEX-P790,EVODEX-P1130"
EVODEX-F351,"{'O': 11, 'C': 6, 'P': 2, 'H': 12}",EVODEX-P795
EVODEX-F352,"{'O': -11, 'C': -6, 'P': -2, 'H': -12}",EVODEX-P797
EVODEX-F353,"{'O': -12, 'C': -29, 'N': -9, 'H': -37}",EVODEX-P801
EVODEX-F354,"{'S': 1, 'O': -10, 'C': -25, 'N': -8, 'H': -28}",EVODEX-P803
EVODEX-F355,"{'S': 1, 'O': 2, 'C': 4, 'N': 1, 'H': 9}",EVODEX-P804
EVODEX-F356,"{'O': -16, 'C': -18, 'H': -32}","EVODEX-P808,EVODEX-P1322,EVODEX-P1412"
EVODEX-F357,"{'O': -15, 'C': -18, 'H': -30}","EVODEX-P809,EVODEX-P1323"
